DATE,CC#,DISTRICT,LOCATION,TYPE,X (LONG),Y (LAT),COORDINATES
01/02/2013 12:00:00 AM,134A00685,NED,3200 Cliftmont Rd,Shooting,-76.5737176216,39.3189978152,"(39.3189978152, -76.5737176216)"
01/13/2013 12:00:00 AM,135A05457,ND,5415 York Rd,Shooting,-76.6098638869,39.356147524,"(39.3561475240, -76.6098638869)"
01/25/2013 12:00:00 AM,133A11199,ED,500 N Madeira St,Shooting,-76.5858118569,39.2970004089,"(39.2970004089, -76.5858118569)"
01/28/2013 12:00:00 AM,138A12326,SWD,3300 Edmondson Ave,Shooting,-76.672821462,39.2941972073,"(39.2941972073, -76.6728214620)"
01/29/2013 12:00:00 AM,136A12790,NWD,5002 Pimlico Rd,Shooting,-76.6693065652,39.3501473134,"(39.3501473134, -76.6693065652)"
03/28/2013 12:00:00 AM,132C12587,SED,6706 Danville Ave,Shooting,-76.5295020443,39.2769560811,"(39.2769560811, -76.5295020443)"
04/18/2013 12:00:00 AM,132D08633,SED,3400 Foster Ave,Shooting,-76.5687489914,39.2845448684,"(39.2845448684, -76.5687489914)"
04/22/2013 12:00:00 AM,137D10409,WD,2700 Edmondson Ave,Shooting,-76.6615113213,39.2945651064,"(39.2945651064, -76.6615113213)"
05/25/2013 12:00:00 AM,139E12127,SD,400 S Poppleton St,Shooting,-76.6318639809,39.2835928182,"(39.2835928182, -76.6318639809)"
08/13/2013 12:00:00 AM,138H08647,SWD,3400 Old Frederick Rd,Shooting,-76.6919883658,39.2901480834,"(39.2901480834, -76.6919883658)"
09/04/2013 12:00:00 AM,132I01855,SED,200 Spring Ct,Shooting,-76.5976451125,39.2936982641,"(39.2936982641, -76.5976451125)"
10/16/2013 12:00:00 AM,134J07730,NED,3800 Mannasota Ave,Shooting,-76.5658878096,39.3229787344,"(39.3229787344, -76.5658878096)"
